rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
236;Mastercard;267;12497;16;3915;-3,5;21329;184161;134;Ajay Banga;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;10;Harrison;NY;41.0400135;-73.7144477
237;BlackRock;255;12491;12;4970;56,7;220217;87065;139;Laurence D. Fink;Chairman &  Chief Executive Officer;Financials;Securities;11;New York;NY;40.7127753;-74.0059728
238;Henry Schein;243;12462;7,7;406,3;-19,8;7811;1033;22;Stanley M. Bergman;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;15;Melville;NY;40.7934322;-73.4151214
239;Guardian Life Ins. Co. of America;218;12455;-3,6;455,3;72,5;75038;0;9283;Deanna M. Mulligan;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (Mutual);24;New York;NY;40.7127753;-74.0059728
240;Stryker;252;12444;9,9;1020;-38,1;22197;60041;33;Kevin A. Lobo;Chairman &  Chief Executive Officer;Health Care;Medical Products and Equipment;16;Kalamazoo;MI;42.2917069;-85.5872286
241;Jefferies Financial Group;262;12408;14,1;171,7;32,1;47169;8098;127;Richard B. Handler;Chairman &  Chief Executive Officer;Financials;Diversified Financials;6;New York;NY;40.7127753;-74.0059728
242;VF;230;124;1,6;614,9;-42,8;9959;29403;69;Steven E. Rendle;Chairman, President &  Chief Executive Officer;Apparel;Apparel;24;Greensboro;NC;36.0726354;-79.7919754
243;ADP;240;1238;6,1;1733,4;16,1;3718;50302;58;Carlos A. Rodriguez;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;24;Roseland;NJ;40.8206555;-74.2937594
244;Edison International;235;1232;3,8;565;-56,9;5258;20741;12521;Pedro J. Pizarro;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;Rosemead;CA;34.0805651;-118.072846
245;Biogen;248;12274;7,2;2539,1;-31,4;23653;5793;73;Michel Vounatsos;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;9;Cambridge;MA;42.3736158;-71.1097335
246;United States Steel;279;1225;19,4;387;0;9862;62;292;David B. Burritt;President, Chief Executive Officer &  Director;Materials;Metals;16;Pittsburgh;PA;40.4406248;-79.9958864
247;Core-Mark Holding;247;12225;6,2;33,5;-38,2;1783;981;8413;Thomas B. Perkins;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;9;South San Francisco;CA;37.654656;-122.4077498
248;Bed Bath & Beyond;233;12216;0,9;685,1;-18,6;6846;2989;65;Steven H. Temares;Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;15;Union;NJ;40.6975898;-74.2631635
249;Oneok;312;12174;36,5;387,8;10,2;16846;23373;247;Terry K. Spencer;President, Chief Executive Officer &  Director;Energy;Pipelines;16;Tulsa;OK;36.1539816;-95.992775
250;BB& T Corp.;245;12156;5,4;2394;-1,3;221642;40454;36484;Kelly S. King;Chairman &  Chief Executive Officer;Financials;Commercial Banks;20;Winston-Salem;NC;36.0998596;-80.244216
251;Becton Dickinson;225;12093;-3,1;1100;12,7;37734;57695;41933;Vincent A. Forlenza;Chairman &  Chief Executive Officer;Health Care;Medical Products and Equipment;24;Franklin Lakes;NJ;41.0167639;-74.2057011
252;Ameriprise Financial;239;12075;2,9;1480;12,6;14747;21613;13312;James M. Cracchiolo;Chairman &  Chief Executive Officer;Financials;Diversified Financials;12;Minneapolis;MN;44.977753;-93.2650108
253;Farmers Insurance Exchange;222;12072;-3,5;-65,4;0;16165;0;13015;Jeffrey J. Dailey;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Mutual);4;Los Angeles;CA;34.165357;-118.6089752
254;First Data;242;12052;4;1465;248,8;48269;14865;22;Frank J. Bisignano;Chairman &  Chief Executive Officer;Business Services;Financial Data Services;24;New York;NY;40.7127753;-74.0059728
255;Consolidated Edison;234;12033;-0,3;1525;22,5;48111;24192;15591;John McAvoy;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;New York;NY;40.7127753;-74.0059728
256;Parker-Hannifin;251;12029;5,9;983,4;21,9;1549;22755;5669;Thomas L. Williams;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;24;Cleveland;OH;41.49932;-81.6943605
257;Anadarko Petroleum;344;11908;51,3;-456;0;42086;31131;44;R. A. Walker;Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;18;The Woodlands;TX;30.1658207;-95.4612625
258;Estee Lauder;253;11824;5;1249;12,1;11568;55064;46;Fabrizio Freda;President, Chief Executive Officer &  Director;Household Products;Household and Personal Products;23;New York;NY;40.7127753;-74.0059728
259;State Street Corp.;271;11774;10,7;2177;1,6;238425;36688;36643;Joseph L. Hooley;Chairman &  Chief Executive Officer;Financials;Commercial Banks;23;Boston;MA;42.3600825;-71.0588801
260;Tesla;383;11759;68;-1961,4;0;28655;44955;37543;Elon Musk;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;2;Palo Alto;CA;37.4418834;-122.1430195
261;Netflix;314;11693;32,4;558,9;199,4;19013;128167;51;Reed Hastings;Chairman, President &  Chief Executive Officer;Technology;Internet Services and Retailing;4;Los Gatos;CA;37.2358078;-121.9623751
262;Alcoa;300;11652;25;217;0;17447;8372;146;Roy C. Harvey;President, Chief Executive Officer &  Director;Materials;Metals;2;Pittsburgh;PA;40.4406248;-79.9958864
263;Discover Financial Services;277;11545;10;2099;-12,3;100087;25431;165;David W. Nelms;Chairman &  Chief Executive Officer;Financials;Commercial Banks;10;Riverwoods;IL;42.1675254;-87.897014
264;Praxair;275;11437;8,6;1247;-16,9;20436;41434;26461;Stephen F. Angel;Chairman &  Chief Executive Officer;Chemicals;Chemicals;24;Danbury;CT;41.394817;-73.4540111
265;CSX;257;11408;3,1;5471;219,2;35739;49428;24006;James M. Foote;President, Chief Executive Officer &  Director;Transportation;Railroads;24;Jacksonville;FL;30.3321838;-81.655651
266;Xcel Energy;256;11404;2,7;1148;2,2;4303;23107;11105;Benjamin G.S. Fowke III;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;22;Minneapolis;MN;44.977753;-93.2650108
267;Unum Group;258;11287;2,2;994,2;6,7;64013;1053;94;Richard P. McKenney;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (stock);23;Chattanooga;TN;35.0456297;-85.3096801
268;Universal Health Services;276;11279;7,3;752,3;7,1;10762;11163;723;Alan B. Miller;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;15;King of Prussia;PA;40.1012856;-75.3835525
269;NRG Energy;229;11275;-8,7;-2153;0;23318;9698;594;Mauricio Gutierrez;President, Chief Executive Officer &  Director;Energy;Energy;12;Princeton;NJ;40.3572976;-74.6672226
270;EOG Resources;356;11208;46,5;2582,6;0;29833;60913;2664;William R. Thomas;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;10;Houston;TX;29.7604267;-95.3698028
271;Sempra Energy;280;11207;10,1;256;-81,3;50454;29351;16046;J. Walker Martin;Chairman &  Chief Executive Officer;Energy;Utilities: Gas and Electric;20;San Diego;CA;32.715738;-117.1610838
272;Toys 'R'?Us;244;11146;-3,4;-612;0;7262;0;65;David A. Brandon;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Wayne;NJ;40.9253725;-74.2765441
273;Group 1 Automotive;261;11124;2,2;213,4;45,1;4871;1366;14108;Earl J. Hesterberg;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;18;Houston;TX;29.7604267;-95.3698028
274;Entergy;263;11075;2,1;411,6;0;46707;14298;13504;Leo P. Denault;Chairman &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;New Orleans;LA;29.9510658;-90.0715323
275;Molson Coors Brewing;522;11003;125,2;1414,2;-28,4;30247;16238;172;Mark R. Hunter;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Beverages;8;Denver;CO;39.7392358;-104.990251
276;L3 Technologies;273;11002;3,8;677;-4,6;12729;16283;38;Christopher E. Kubasik;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;16;New York;NY;40.7127753;-74.0059728
277;Ball;306;10983;21,2;374;42,2;17169;1392;183;John A. Hayes;Chairman, President &  Chief Executive Officer;Materials;Packaging, Containers;22;Broomfield;CO;39.9205411;-105.0866504
278;AutoZone;270;10889;2,4;1280,9;3,2;926;1745;70035;William C. Rhodes III;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Other;20;Memphis;TN;35.1495343;-90.0489801
279;Murphy USA;291;10853;12,7;245,3;10,7;2331;244;69;R. Andrew Clyde;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;5;El Dorado;AR;33.20763;-92.6662674
280;MGM Resorts International;297;10774;13,9;1960,3;78;29159;19844;685;James J. Murren;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;18;Las Vegas;NV;36.1699412;-115.1398296
281;Office Depot;203;10752;-20,9;181;-65,8;6323;1195;45;Gerry P. Smith;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Boca Raton;FL;26.3683064;-80.1289321
282;Huntsman;289;10592;9,7;636;95,1;10244;709;10;Peter R. Huntsman;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;13;The Woodlands;TX;30.1658207;-95.4612625
283;Baxter International;281;10561;3,9;717;-85,6;17111;34979;47;Jos? E. Almeida;Chairman, President &  Chief Executive Officer;Health Care;Medical Products and Equipment;24;Deerfield;IL;42.1711365;-87.8445119
284;Norfolk Southern;284;10551;6,7;5404;224;35711;41226;2711;James A. Squires;Chairman, President &  Chief Executive Officer;Transportation;Railroads;24;Norfolk;VA;36.8507689;-76.2858726
285;salesforce.com;326;1048;24,9;127,5;-29;2101;85074;29;Marc R. Benioff;Chairman &  Chief Executive Officer;Technology;Computer Software;4;SF;CA;37.7749295;-122.4194155
286;Laboratory Corp. of America;290;10441;8,3;1268,2;73,2;16568;16482;60;David P. King;Chairman, President &  Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;9;Burlington;NC;36.0956918;-79.4377991
287;W.W. Grainger;282;10425;2,8;585,7;-3,3;5804;15823;2505;Donald G. MacPherson;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;24;Lake Forest;IL;42.2586342;-87.840625
288;Qurate Retail;269;10404;-2,3;2441;97,7;24122;12587;28255;Gregory B. Maffei;Chairman;Retailing;Internet Services and Retailing;14;Englewood;CO;39.6477653;-104.9877597
289;Autoliv;283;10383;3,1;427,1;-24,7;855;1271;67352;Jan Carlson;Chairman, President &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;20;Auburn Hills;MI;42.6875323;-83.2341028
290;Live Nation Entertainment;330;10337;23,7;-6;-304,5;7504;8772;1505;Michael Rapino;President, Chief Executive Officer &  Director;Media;Entertainment;9;Beverly Hills;CA;34.0736204;-118.4003563
291;Xerox;162;10265;-40,1;195;0;15946;733;361;John Visentin;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;24;Norwalk;CT;41.117744;-73.4081575
292;Leidos Holdings;381;1017;44,4;366;50;899;9918;31;Roger A. Krone;Chairman &  Chief Executive Officer;Technology;Information Technology Services;18;Reston;VA;38.9586307;-77.3570028
293;Corning;298;10116;7,7;-497;-113,5;27494;23677;462;Wendell P. Weeks;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;23;Corning;NY;42.1428521;-77.0546903
294;Lithia Motors;318;10087;16,2;245,2;24,4;4683;2515;12899;Bryan B. DeBoer;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;4;Medford;OR;42.3265152;-122.8755949
295;Expedia Group;317;1006;14,7;378;34,1;18516;16764;22615;Mark D. Okerstrom;President, Chief Executive Officer &  Director;Retailing;Internet Services and Retailing;4;Bellevue;WA;47.6101497;-122.2015159
296;Republic Services;299;10042;7;1278,4;108,7;21147;21832;35;Donald W. Slager;President, Chief Executive Officer &  Director;Business Services;Waste Management;9;Phoenix;AZ;33.4483771;-112.0740373
297;Jacobs Engineering Group;259;10023;-8,6;293,7;39,6;7381;838;4975;Steven J. Demetriou;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Engineering, Construction;18;Dallas;TX;32.7766642;-96.7969879
298;Sonic Automotive;287;9867;1,4;93;-0,2;3819;804;975;B. Scott Smith;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;19;Charlotte;NC;35.2270869;-80.8431267
299;Ally Financial;286;9866;0,3;929;-12,9;167148;11767;79;Jeffrey J. Brown;Chairman &  Chief Executive Officer;Financials;Diversified Financials;11;Detroit;MI;42.331427;-83.0457538
300;LKQ;304;9848;8,4;533,7;15;9367;1175;43;Dominick P. Zarcone;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;5;Chicago;IL;41.8781136;-87.6297982
301;BorgWarner;305;9799;8;439,9;271,2;9788;10586;29;James R. Verrier;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;12;Auburn Hills;MI;42.6875323;-83.2341028
302;Fidelity National Financial;293;9769;2,3;771;18,6;9151;10983;24525;Raymond R. Quirk;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);11;Jacksonville;FL;30.3321838;-81.655651
303;SunTrust Banks;303;9741;6,3;2273;21;205962;31863;23785;William H. Rogers Jr.;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;Atlanta;GA;33.7489954;-84.3879824
304;IQVIA Holdings;390;9739;41,6;1309;1038,3;22742;20433;55000;Ari Bousbib;Chairman, President &  Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;5;Durham;NC;35.980513;-78.90511
305;Reliance Steel & Aluminum;320;9721;12,9;613,4;101,6;7751;6244;149;Gregg J. Mollins;President, Chief Executive Officer &  Director;Materials;Metals;12;Los Angeles;CA;34.0522342;-118.2436849
306;Nvidia;387;9714;40,6;3047;82,9;11241;140112;11528;Jen-Hsun Huang;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;2;Santa Clara;CA;37.3541079;-121.9552356
307;Voya Financial;266;966;-10,4;-2992;0;222532;8686;63;Rodney O. Martin Jr.;Chairman &  Chief Executive Officer;Financials;Diversified Financials;4;New York;NY;40.7127753;-74.0059728
308;CenterPoint Energy;362;9614;27,7;1792;314,8;22736;11822;7977;Scott M. Prochazka;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;Houston;TX;29.7604267;-95.3698028
309;eBay;310;9567;6,5;-1016;-114;25981;40726;141;Devin N. Wenig;President, Chief Executive Officer &  Director;Technology;Internet Services and Retailing;13;San Jose;CA;37.3382082;-121.8863286
310;Eastman Chemical;309;9549;6;1384;62,1;15999;15073;14;Mark J. Costa;Chairman &  Chief Executive Officer;Chemicals;Chemicals;24;Kingsport;TN;36.548434;-82.5618186
311;American Family Insurance Group;315;9545;8,1;155,6;-52,2;24233;0;11307;Jack C. Salzwedel;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);22;Madison;WI;43.0730517;-89.4012302
312;Steel Dynamics;347;9539;22,7;812,7;112,7;6856;10444;7635;Mark D. Millett;President, Chief Executive Officer &  Director;Materials;Metals;9;Fort Wayne;IN;41.079273;-85.1393513
313;Pacific Life;302;951;3,7;1365;65,7;157877;0;3578;James T. Morris;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);22;Newport Beach;CA;33.6188829;-117.9298493
314;Chesapeake Energy;343;9496;20,6;949;0;12425;2746;32;Robert D. Lawler;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;13;Oklahoma City;OK;35.4675602;-97.5164276
315;Mohawk Industries;311;9491;5,9;971,6;4,4;12095;17283;388;Jeffrey S. Lorberbaum;Chairman &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;19;Calhoun;GA;34.502587;-84.9510542
316;Quanta Services;355;9467;23,7;315;58,8;648;5281;328;Earl C. Austin Jr.;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;6;Houston;TX;29.7604267;-95.3698028
317;Advance Auto Parts;292;9374;-2;475,5;3,5;8482;877;555;Thomas R. Greco;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;16;Roanoke;VA;37.2709704;-79.9414266
318;Owens & Minor;288;9318;-4,2;72,8;-33,1;3376;961;86;P. Cody Phipps;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;Mechanicsville;VA;37.6087561;-77.3733139
319;United Natural Foods;325;9275;9,5;130,2;3,5;2887;2165;97;Steven L. Spinner;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;6;Providence;RI;41.8239891;-71.4128343
320;Tenneco;322;9274;7,8;207;-41,9;4842;2822;32;Brian J. Kesseler;Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Lake Forest;IL;42.2586342;-87.840625
321;Conagra Brands;197;9235;-34,7;639,3;0;10096;14776;126;Sean M. Connolly;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;24;Chicago;IL;41.8781136;-87.6297982
322;GameStop;321;9225;7,2;34,7;-90,2;5042;1279;395;Shane S. Kim;Interim Chief Executive Officer;Retailing;Specialty Retailers: Other;12;Grapevine;TX;32.9342919;-97.0780654
323;Hormel Foods;295;9168;-3,7;846,7;-4,9;6976;18174;202;James P. Snee;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;24;Austin;MN;43.6666296;-92.9746367
324;Hilton Worldwide Holdings;241;914;-21,6;1259;261,8;14308;24957;163;Christopher J. Nassetta;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;15;McLean;VA;38.9338676;-77.1772604
325;Frontier Communications;313;9128;2,6;-1804;0;24884;582;22736;Daniel J. McCarthy;President, Chief Executive Officer &  Director;Telecommunications;Telecommunications;5;Norwalk;CT;41.117744;-73.4081575
326;Fidelity National Information Services;301;9123;-1,3;1319;132,2;24517;31893;53;Gary A. Norcross;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;9;Jacksonville;FL;30.3321838;-81.655651
327;Public Service Enterprise Group;306;9084;0,3;1574;77,5;42716;25359;12945;Ralph Izzo;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Newark;NJ;40.735657;-74.1723667
328;Boston Scientific;327;9048;7,9;104;-70;19042;37688;29;Michael F. Mahoney;Chairman, President &  Chief Executive Officer;Health Care;Medical Products and Equipment;15;Marlboro;MA;42.3459271;-71.5522874
329;OReilly Automotive;323;8978;4,5;1133,8;9,3;7572;20607;60365;Gregory D. Johnson;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;9;Springfield;MO;37.2089572;-93.2922989
330;Charles Schwab;357;896;17,2;2354;24,6;243274;70313;176;Walter W. Bettinger II;President, Chief Executive Officer &  Director;Financials;Securities;20;SF;CA;37.7749295;-122.4194155
331;Global Partners;334;8921;8,3;58,8;0;232;522;2;Eric Slifka;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;12;Waltham;MA;42.3764852;-71.2356113
332;PVH;335;8915;8,7;537,8;-2;11886;11649;2805;Emanuel Chirico;Chairman &  Chief Executive Officer;Apparel;Apparel;8;New York;NY;40.7127753;-74.0059728
333;Avis Budget Group;319;8848;2,2;361;121,5;17699;3792;263;Larry D. De Shon;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;21;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
334;Targa Resources;402;8815;31,7;54;0;14389;9629;213;Joe Bob Perkins;Chairman &  Chief Executive Officer;Energy;Pipelines;10;Houston;TX;29.7604267;-95.3698028
335;Hertz Global Holdings;296;8803;-7,1;327;0;20058;1662;37;Kathryn V. Marinello;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;11;Estero;FL;26.438136;-81.8067523
336;Calpine;400;8752;30,3;-339;-468,5;16453;0;229;John B. Hill III;President, Chief Executive Officer &  Director;Energy;Energy;17;Houston;TX;29.7604267;-95.3698028
337;Mutual of Omaha Insurance;342;8732;10,6;862,6;141,9;42429;0;5896;James T. Blackledge;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);22;Omaha;NE;41.2565369;-95.9345034
338;Crown Holdings;333;8698;5;323;-34,9;10663;6816;24342;Timothy J. Donahue;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;24;Philadelphia;PA;39.9525839;-75.1652215
339;Peter Kiewit Sons;324;8678;1,2;371;-6,3;571;0;22;Bruce E. Grewcock;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;19;Omaha;NE;41.2565369;-95.9345034
340;Dicks Sporting Goods;340;8591;8,4;323,4;12,5;4204;3765;303;Edward W. Stack;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;9;Coraopolis;PA;40.5184013;-80.1667247
341;PulteGroup;353;8573;11,8;447,2;-25,8;9687;8439;481;Ryan R. Marshall;President, Chief Executive Officer &  Director;Engineering &  Construction;Homebuilders;16;Atlanta;GA;33.7489954;-84.3879824
342;Navistar International;337;857;5,7;30;0;6135;3451;114;Troy A. Clarke;Chairman, President &  Chief Executive Officer;Industrials;Construction and Farm Machinery;22;Lisle;IL;41.801141;-88.0747875
343;Thrivent Financial for Lutherans;316;8528;-2,8;558,4;-5;95001;0;3622;Bradford L. Hewitt;Chief Executive Officer &  Director;Financials;Insurance: Life, Health (Mutual);24;Minneapolis;MN;44.977753;-93.2650108
344;DCP Midstream;;8462;465,3;229;-26,6;13878;5033;265;Wouter T. van Kempen;Chairman, President &  Chief Executive Officer;Energy;Pipelines;1;Denver;CO;39.7392358;-104.990251
345;Air Products & Chemicals;294;8442;-11,4;3000,4;375,4;18467;34818;1515;Seifi Ghasemi;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;24;Allentown;PA;40.6022939;-75.4714098
346;Veritiv;331;8365;0,5;-13,3;-163,3;2708;617;89;Mary A. Laschinger;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;3;Atlanta;GA;33.7489954;-84.3879824
347;AGCO;370;8307;12,1;186,4;16,4;7972;5157;20462;Martin H. Richenhagen;Chairman, President &  Chief Executive Officer;Industrials;Construction and Farm Machinery;17;Duluth;GA;34.0028786;-84.1446376
348;Genworth Financial;329;8295;-0,9;817;0;105297;1413;35;Thomas J. McInerney;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (stock);13;Richmond;VA;37.5407246;-77.4360481
349;Univar;338;8254;2,2;119,8;0;5733;392;86;David C. Jukes;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;3;Downers Grove;IL;41.8089191;-88.0111746
350;News Corp.;332;8139;-2,2;-738;-512,3;14552;9272;26;Robert J. Thomson;Chairman &  Chief Executive Officer;Media;Publishing, Printing;4;New York;NY;40.7127753;-74.0059728
351;SpartanNash;350;8128;5,1;-52,8;-193;2056;620;1195;David M. Staples;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Food and Grocery;8;Byron Center;MI;42.8122508;-85.7228061
352;Westlake Chemical;507;8041;58,4;1304;226,9;12076;14385;8799;Albert Yuan Chao;President, Chief Executive Officer &  Director;Chemicals;Chemicals;1;Houston;TX;29.7604267;-95.3698028
353;Williams;367;8031;7,1;2174;0;46352;20567;5425;Alan S. Armstrong;President, Chief Executive Officer &  Director;Energy;Energy;24;Tulsa;OK;36.1539816;-95.992775
354;Lam Research;440;8014;36,1;1697,8;85,7;12123;33105;94;Martin B. Anstice;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;3;Fremont;CA;37.5482697;-121.9885719
355;Alaska Air Group;438;7933;33,8;1034;27;1074;7646;23156;Bradley D. Tilden;Chairman, President &  Chief Executive Officer;Transportation;Airlines;5;Seattle;WA;47.6062095;-122.3320708
356;Jones Lang LaSalle;391;7932;16,6;254,2;-20,1;8015;793;819;Christian Ulbrich;President, Chief Executive Officer &  Director;Financials;Real estate;4;Chicago;IL;41.8781136;-87.6297982
357;Anixter International;359;7927;4;109;-9,5;4252;2522;89;Robert J. Eck;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;16;Glenview;IL;42.0697509;-87.7878408
358;Campbell Soup;339;789;-0,9;887;57,5;7726;13021;18;Denise M. Morrison;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;24;Camden;NJ;39.9259463;-75.1196199
359;Interpublic Group;345;7882;0,5;579;-4,8;12695;8854;502;Michael I. Roth;Chairman &  Chief Executive Officer;Business Services;Advertising, marketing;21;New York;NY;40.7127753;-74.0059728
360;Dover;392;783;15,2;811,7;59,5;10658;15183;29;Richard J. Tobin;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;24;Downers Grove;IL;41.8089191;-88.0111746
361;Zimmer Biomet Holdings;352;7824;1,8;1813,8;492,9;25965;22151;182;Bryan C. Hanson;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;3;Warsaw;IN;41.2381;-85.8530469
362;Dean Foods;351;7795;1,1;61,6;-48,6;2504;787;16;Ralph P. Scozzafava;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;20;Dallas;TX;32.7766642;-96.7969879
363;Foot Locker;348;7782;0,2;284;-57,2;3961;5379;32175;Richard A. Johnson;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;24;New York;NY;40.7127753;-74.0059728
364;Eversource Energy;358;7752;1,5;988;4,8;3622;18671;8084;James J. Judge;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;23;Springfield;MA;42.1014831;-72.589811
365;Alliance Data Systems;378;7719;8,1;788,7;52,9;30685;11806;20;Edward J. Heffernan;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;4;Plano;TX;33.0198431;-96.6988856
366;Fifth Third Bancorp;389;7713;12;2194;40,3;142193;21812;18125;Greg D. Carmichael;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;19;Cincinnati;OH;39.1031182;-84.5120196
367;Quest Diagnostics;366;7709;2,6;772;19,7;10503;13619;45;Stephen H. Rusckowski;Chairman, President &  Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;18;Secaucus;NJ;40.7895453;-74.0565298
368;EMCOR Group;360;7688;1,8;227,2;24,9;3966;4549;32;Anthony J. Guzzi;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;18;Norwalk;CT;41.117744;-73.4081575
369;W.R. Berkley;354;7685;0,4;549,1;-8,8;243;8836;7722;W. Robert Berkley Jr.;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);15;Greenwich;CT;41.0262417;-73.6281964
370;WESCO International;373;7679;4,7;163,5;60,9;4736;292;91;John J. Engel;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;20;Pittsburgh;PA;40.4406248;-79.9958864
371;Coty;558;765;75,9;-422,2;-369,1;22548;13723;22;Camillo Pane;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;1;New York;NY;40.7127753;-74.0059728
372;WEC Energy Group;368;7649;2,4;1203,7;28,2;31591;19784;8129;Gale E. Klappa;Chairman &  Chief Executive Officer;Energy;Utilities: Gas and Electric;9;Milwaukee;WI;43.0389025;-87.9064736
373;Masco;372;7644;3,9;533;8,6;5488;1259;26;Keith J. Allman;President, Chief Executive Officer &  Director;Household Products;Home Equipment, Furnishings;24;Livonia;MI;42.36837;-83.3527097
